"estado","repeticao","inicio_iso","duracao_ms","duracao_s","codigo_saida","sucesso","commit","java","maven","comando"
"pre-migracao","1","2026-09-21T23:34:58.6618781-03:00","11154.775","11.154775","0","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","Apache Maven 3.9.11 (3e54c93a704957b63ee3494413a2b544fd3d825b)","mvn clean package"
"pre-migracao","2","2026-09-21T23:35:09.8691567-03:00","9072.996","9.072996","0","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","Apache Maven 3.9.11 (3e54c93a704957b63ee3494413a2b544fd3d825b)","mvn clean package"
"pre-migracao","3","2026-09-21T23:35:18.9461480-03:00","9106.373","9.106373","0","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","Apache Maven 3.9.11 (3e54c93a704957b63ee3494413a2b544fd3d825b)","mvn clean package"
"pre-migracao","4","2026-09-21T23:35:28.0532811-03:00","10101.943","10.101943","0","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","Apache Maven 3.9.11 (3e54c93a704957b63ee3494413a2b544fd3d825b)","mvn clean package"
"pre-migracao","5","2026-09-21T23:35:38.1564582-03:00","9088.836","9.088836","0","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","Apache Maven 3.9.11 (3e54c93a704957b63ee3494413a2b544fd3d825b)","mvn clean package"
"pre-migracao","6","2026-09-21T23:35:47.2460525-03:00","10094.174","10.094174","0","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","Apache Maven 3.9.11 (3e54c93a704957b63ee3494413a2b544fd3d825b)","mvn clean package"
"pre-migracao","7","2026-09-21T23:35:57.3411484-03:00","10085.656","10.085656","0","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","Apache Maven 3.9.11 (3e54c93a704957b63ee3494413a2b544fd3d825b)","mvn clean package"
"pre-migracao","8","2026-09-21T23:36:07.4281519-03:00","12118.202","12.118202","0","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","Apache Maven 3.9.11 (3e54c93a704957b63ee3494413a2b544fd3d825b)","mvn clean package"
"pre-migracao","9","2026-09-21T23:36:19.5474961-03:00","16150.098","16.150098","0","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","Apache Maven 3.9.11 (3e54c93a704957b63ee3494413a2b544fd3d825b)","mvn clean package"
"pre-migracao","10","2026-09-21T23:36:35.7096103-03:00","10081.802","10.081802","0","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","Apache Maven 3.9.11 (3e54c93a704957b63ee3494413a2b544fd3d825b)","mvn clean package"
