file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,class,5,7,2,5,4,1,0,25,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,0,2,0,0,2,0,4,33,2,1,1,1,0,10,4,13,3,14,3,0,0,1,53,1,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Perfil.java,tcc.legado.model.Perfil,class,3,5,2,3,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,3,0,3,0,2,0,0,0,0,8,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,class,6,8,2,6,6,1,0,9,0,0.33333334,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,2,1,0,2,0,0,0,0,0,29,4,1,1,1,0,3,0,8,0,7,2,0,0,0,26,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\EmprestimoEJB.java,tcc.legado.ejb.emprestimo.EmprestimoEJB,class,6,6,0,6,12,1,0,8,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,30,4,0,3,0,0,3,2,0,0,1,1,0,0,0,27,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,class,0,9,9,0,15,1,0,0,91,0.86666673,0.06666667,0.06666667,15,0,15,0,0,0,15,0,0,0,7,0,0,7,0,0,0,0,0,53,7,0,0,0,0,0,0,7,0,7,0,0,0,0,19,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,class,8,11,3,8,21,1,0,28,0,0.25,1.0,1.0,6,0,5,1,0,0,5,0,0,0,2,1,0,2,0,0,1,0,3,66,3,1,7,1,0,19,4,9,6,11,2,0,0,1,51,1,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\HashUtil.java,tcc.legado.util.HashUtil,class,2,4,2,2,5,1,0,10,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,23,1,1,1,1,0,8,2,4,3,4,3,0,0,0,21,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\UsuarioService.java,tcc.legado.service.UsuarioService,class,4,5,1,4,14,1,0,14,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,40,3,0,4,0,0,6,0,3,0,6,1,0,0,1,30,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,class,6,6,0,6,7,1,0,7,0,0.0,1.0,1.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,1,0,0,0,0,21,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\livro\ILivroEJB.java,tcc.legado.ejb.livro.ILivroEJB,interface,1,3,2,1,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
