file,class,method,variable,usage
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],API_URL,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],LOG,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Perfil.java,tcc.legado.model.Perfil,getPermissoes/0,permissoes,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Perfil.java,tcc.legado.model.Perfil,getNome/0,nome,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Perfil.java,tcc.legado.model.Perfil,setNome/1[java.lang.String],nome,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Perfil.java,tcc.legado.model.Perfil,setPermissoes/1[java.util.Set<java.lang.String>],permissoes,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,setPerfis/1[java.util.List<tcc.legado.model.Perfil>],perfis,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,carregarPerfis/0,cache,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,getPerfis/0,perfis,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\EmprestimoEJB.java,tcc.legado.ejb.emprestimo.EmprestimoEJB,registrarDevolucao/1[java.lang.Long],emprestimoService,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\EmprestimoEJB.java,tcc.legado.ejb.emprestimo.EmprestimoEJB,buscarPorId/1[java.lang.Long],emprestimoService,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\EmprestimoEJB.java,tcc.legado.ejb.emprestimo.EmprestimoEJB,buscarAtrasados/0,emprestimoService,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\EmprestimoEJB.java,tcc.legado.ejb.emprestimo.EmprestimoEJB,atualizarMultasAtrasadas/0,emprestimoService,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\EmprestimoEJB.java,tcc.legado.ejb.emprestimo.EmprestimoEJB,listarTodos/0,emprestimoService,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\EmprestimoEJB.java,tcc.legado.ejb.emprestimo.EmprestimoEJB,"criarEmprestimo/2[java.lang.Long,java.lang.String]",emprestimoService,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,getTitulo/0,titulo,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,setAno/1[java.lang.Integer],ano,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,getId/0,id,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,setId/1[java.lang.Long],id,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,setTitulo/1[java.lang.String],titulo,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,setEditora/1[java.lang.String],editora,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,getAutor/0,autor,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,setIsbn/1[java.lang.String],isbn,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,getAno/0,ano,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,setAutor/1[java.lang.String],autor,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,getIsbn/0,isbn,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,setQuantidade/1[java.lang.Integer],quantidade,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,getEditora/0,editora,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,getQuantidade/0,quantidade,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,salvar/1[tcc.legado.model.Livro],LOG,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,salvar/1[tcc.legado.model.Livro],livroDAO,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,listarTodos/0,livroDAO,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,getEmprestimoService/0,LOG,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,buscarPorId/1[java.lang.Long],livroDAO,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,atualizar/1[tcc.legado.model.Livro],LOG,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,atualizar/1[tcc.legado.model.Livro],livroDAO,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,excluir/1[java.lang.Long],LOG,1
