file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],false,22,4,2,2,0,4,23,29,2,12,1,23,0,0,1,1,1,0,9,4,11,3,3,0,0,1,42,9,1,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Perfil.java,tcc.legado.model.Perfil,getPermissoes/0,false,19,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Perfil.java,tcc.legado.model.Perfil,getNome/0,false,15,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Perfil.java,tcc.legado.model.Perfil,setNome/1[java.lang.String],false,16,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Perfil.java,tcc.legado.model.Perfil,setPermissoes/1[java.util.Set<java.lang.String>],false,20,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,setPerfis/1[java.util.List<tcc.legado.model.Perfil>],false,19,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,carregarPerfis/0,false,23,4,3,1,2,4,9,19,3,5,0,9,1,1,1,1,1,0,1,0,6,0,2,0,0,0,22,9,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,getPerfis/0,false,18,2,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\EmprestimoEJB.java,tcc.legado.ejb.emprestimo.EmprestimoEJB,registrarDevolucao/1[java.lang.Long],false,33,2,1,0,1,3,1,6,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,8,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\EmprestimoEJB.java,tcc.legado.ejb.emprestimo.EmprestimoEJB,buscarPorId/1[java.lang.Long],false,46,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\EmprestimoEJB.java,tcc.legado.ejb.emprestimo.EmprestimoEJB,buscarAtrasados/0,false,51,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\EmprestimoEJB.java,tcc.legado.ejb.emprestimo.EmprestimoEJB,atualizarMultasAtrasadas/0,false,56,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\EmprestimoEJB.java,tcc.legado.ejb.emprestimo.EmprestimoEJB,listarTodos/0,false,41,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\EmprestimoEJB.java,tcc.legado.ejb.emprestimo.EmprestimoEJB,"criarEmprestimo/2[java.lang.Long,java.lang.String]",false,20,3,1,0,1,5,3,9,1,0,2,3,0,0,0,2,0,0,2,1,0,0,1,0,0,0,10,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,getTitulo/0,false,18,0,8,8,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,setAno/1[java.lang.Integer],false,25,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,Livro/0,true,13,0,4,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,getId/0,false,16,0,6,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,setId/1[java.lang.Long],false,17,0,5,5,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,setTitulo/1[java.lang.String],false,19,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,setEditora/1[java.lang.String],false,27,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,getAutor/0,false,20,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,setIsbn/1[java.lang.String],false,23,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,getAno/0,false,24,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,setAutor/1[java.lang.String],false,21,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,getIsbn/0,false,22,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,setQuantidade/1[java.lang.Integer],false,29,0,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,getEditora/0,false,26,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Livro.java,tcc.legado.model.Livro,getQuantidade/0,false,28,0,6,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,salvar/1[tcc.legado.model.Livro],false,42,2,5,1,4,6,7,12,0,0,1,7,0,0,0,2,0,0,4,1,0,1,2,0,0,0,6,1,1,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,listarTodos/0,false,32,2,4,2,2,1,4,5,1,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,getEmprestimoService/0,false,22,1,1,1,0,2,3,10,1,1,0,3,0,0,0,0,1,0,3,0,1,1,1,0,0,0,14,2,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,buscarPorId/1[java.lang.Long],false,38,2,2,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,atualizar/1[tcc.legado.model.Livro],false,56,2,6,1,5,4,8,11,0,1,1,8,0,0,0,2,0,0,4,0,1,2,1,0,0,0,10,1,1,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,excluir/1[java.lang.Long],false,72,6,11,1,10,7,12,21,0,4,1,12,1,1,1,3,0,0,8,3,5,2,2,0,0,0,26,1,1,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\HashUtil.java,tcc.legado.util.HashUtil,sha256/1[java.lang.String],false,9,1,2,2,0,4,8,16,1,4,1,8,0,0,1,1,1,0,2,2,4,0,3,0,0,0,17,9,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\HashUtil.java,tcc.legado.util.HashUtil,main/1[java.lang.String[]],false,26,1,1,0,1,1,2,5,0,0,1,2,1,1,0,0,0,0,6,0,0,3,0,0,0,0,3,9,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\UsuarioService.java,tcc.legado.service.UsuarioService,atualizar/1[tcc.legado.model.Usuario],false,42,2,5,1,4,3,5,10,0,1,1,5,0,0,0,1,0,0,2,0,1,0,1,0,0,0,9,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\UsuarioService.java,tcc.legado.service.UsuarioService,buscarPorMatricula/1[java.lang.String],false,27,2,2,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\UsuarioService.java,tcc.legado.service.UsuarioService,listarTodos/0,false,17,2,3,1,2,1,4,5,1,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\UsuarioService.java,tcc.legado.service.UsuarioService,salvar/1[tcc.legado.model.Usuario],false,31,2,5,1,4,6,5,9,0,0,1,5,0,0,0,2,0,0,3,0,0,0,1,0,0,0,12,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\UsuarioService.java,tcc.legado.service.UsuarioService,buscarPorId/1[java.lang.Long],false,23,2,2,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\UsuarioService.java,tcc.legado.service.UsuarioService,excluir/1[java.lang.Long],false,53,2,3,1,2,2,2,7,0,1,1,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,8,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,listarTodos/0,false,20,3,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,buscarPorId/1[java.lang.Long],false,32,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,salvar/1[tcc.legado.model.LivroDestaque],false,38,3,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,excluir/1[java.lang.Long],false,50,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
