file,class,method,variable,usage
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],request,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],dataStr,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],ano,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],data,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],e,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],i,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],url,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],formatter,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],resposta,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],obj,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],feriados,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],client,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],httpResponse,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\FeriadoClient.java,tcc.legado.util.FeriadoClient,buscarFeriados/1[int],jsonArray,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Perfil.java,tcc.legado.model.Perfil,setNome/1[java.lang.String],nome,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Perfil.java,tcc.legado.model.Perfil,setPermissoes/1[java.util.Set<java.lang.String>],permissoes,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,setPerfis/1[java.util.List<tcc.legado.model.Perfil>],perfis,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,carregarPerfis/0,p,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,carregarPerfis/0,e,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,carregarPerfis/0,mapa,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,carregarPerfis/0,context,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,carregarPerfis/0,unmarshaller,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,carregarPerfis/0,is,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\PerfisWrapper.java,tcc.legado.util.PerfisWrapper,carregarPerfis/0,wrapper,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\EmprestimoEJB.java,tcc.legado.ejb.emprestimo.EmprestimoEJB,registrarDevolucao/1[java.lang.Long],idEmprestimo,3
