"estado","repeticao","inicio_iso","duracao_ms","duracao_s","status_http","sucesso","commit","java","jboss","endpoint","intervalo_consulta_ms"
"pre-migracao","1","2026-09-21T23:37:32.0266679-03:00","5493.881","5.493881","200","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","7.4.0.GA","http://127.0.0.1:18080/monolito-biblioteca/health","100"
"pre-migracao","2","2026-09-21T23:37:40.4085591-03:00","5113.322","5.113322","200","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","7.4.0.GA","http://127.0.0.1:18080/monolito-biblioteca/health","100"
"pre-migracao","3","2026-09-21T23:37:48.4775212-03:00","4916.537","4.916537","200","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","7.4.0.GA","http://127.0.0.1:18080/monolito-biblioteca/health","100"
"pre-migracao","4","2026-09-21T23:37:56.2262704-03:00","4829.506","4.829506","200","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","7.4.0.GA","http://127.0.0.1:18080/monolito-biblioteca/health","100"
"pre-migracao","5","2026-09-21T23:38:03.8800425-03:00","5309.661","5.309661","200","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","7.4.0.GA","http://127.0.0.1:18080/monolito-biblioteca/health","100"
"pre-migracao","6","2026-09-21T23:38:11.9869130-03:00","5686.719","5.686719","200","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","7.4.0.GA","http://127.0.0.1:18080/monolito-biblioteca/health","100"
"pre-migracao","7","2026-09-21T23:38:20.4507988-03:00","4826.696","4.826696","200","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","7.4.0.GA","http://127.0.0.1:18080/monolito-biblioteca/health","100"
"pre-migracao","8","2026-09-21T23:38:28.1225423-03:00","4810.349","4.810349","200","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","7.4.0.GA","http://127.0.0.1:18080/monolito-biblioteca/health","100"
"pre-migracao","9","2026-09-21T23:38:35.6610077-03:00","4637.284","4.637284","200","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","7.4.0.GA","http://127.0.0.1:18080/monolito-biblioteca/health","100"
"pre-migracao","10","2026-09-21T23:38:43.1503248-03:00","4631.963","4.631963","200","True","8681c13dabf48031bc13f7cd75bd9edca0839f1a","java version ""1.8.0_201""","7.4.0.GA","http://127.0.0.1:18080/monolito-biblioteca/health","100"
